Mois,Trafic_Total,Abonnes_Pro,Revenus_Pub_EUR,Revenus_Abo_EUR,MRR_Total_EUR
Mois 1,2000,40,3.0,199.6,202.6
Mois 2,2900,96,4.35,479.04,483.39
Mois 3,4205,175,6.31,874.75,881.05
Mois 4,6097,288,9.15,1439.52,1448.66
Mois 5,8841,450,13.26,2249.87,2263.13
Mois 6,12819,684,19.23,3416.76,3435.99
Mois 7,18588,1022,27.88,5101.03,5128.91
Mois 8,26952,1510,40.43,7535.88,7576.31
Mois 9,39081,2216,58.62,11059.44,11118.07
Mois 10,56668,3238,85.0,16161.99,16247.0
Mois 11,82169,4720,123.25,23554.4,23677.65
Mois 12,119145,6867,178.72,34267.41,34446.13
